version,migration_name,classification,canonical_active_match,archived_path
20260717242000,music_valuation_and_finance,invalid_timestamp_local_only,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260717242000_music_valuation_and_finance.sql
20260718001450,music_marketplace_offerings_investors,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718001450_music_marketplace_offerings_investors.sql
20260718001540,music_marketplace_positions_orders,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718001540_music_marketplace_positions_orders.sql
20260718001550,music_marketplace_disclosures_ops,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718001550_music_marketplace_disclosures_ops.sql
20260718010000,music_institutional_participants_deals_dataroom,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718010000_music_institutional_participants_deals_dataroom.sql
20260718010100,music_institutional_diligence_bids_closings,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718010100_music_institutional_diligence_bids_closings.sql
20260718010200,music_institutional_funds_nav_waterfalls,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718010200_music_institutional_funds_nav_waterfalls.sql
20260718010300,music_institutional_risk_benchmarks_partners,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718010300_music_institutional_risk_benchmarks_partners.sql
20260718020000,music_licensing_projects_briefs_requests,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718020000_music_licensing_projects_briefs_requests.sql
20260718020100,music_licensing_availability_quotes_agreements,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718020100_music_licensing_availability_quotes_agreements.sql
20260718020200,music_licensing_delivery_cues_usage_invoices,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718020200_music_licensing_delivery_cues_usage_invoices.sql
20260718020300,music_licensing_conflicts_partners_audit,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718020300_music_licensing_conflicts_partners_audit.sql
20260718030000,music_rights_admin_mandates_cases_registrations,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718030000_music_rights_admin_mandates_cases_registrations.sql
20260718030100,music_rights_admin_external_matches_usage_claims,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718030100_music_rights_admin_external_matches_usage_claims.sql
20260718030200,music_rights_admin_enforcement_dmca_settlements,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718030200_music_rights_admin_enforcement_dmca_settlements.sql
20260718030300,music_rights_admin_partners_deadlines_audit_outbox,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718030300_music_rights_admin_partners_deadlines_audit_outbox.sql
20260718040000,music_intelligence_consents_purposes_datasets_cohorts,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718040000_music_intelligence_consents_purposes_datasets_cohorts.sql
20260718040100,music_intelligence_metrics_runs_benchmark_releases,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718040100_music_intelligence_metrics_runs_benchmark_releases.sql
20260718040200,music_intelligence_policy_contract_education,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718040200_music_intelligence_policy_contract_education.sql
20260718040300,music_intelligence_negotiation_groups_governance_audit,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718040300_music_intelligence_negotiation_groups_governance_audit.sql
20260718050000,creator_cooperative_entity_membership_governance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718050000_creator_cooperative_entity_membership_governance.sql
20260718050100,creator_cooperative_data_contributions_lineage_vault,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718050100_creator_cooperative_data_contributions_lineage_vault.sql
20260718050200,creator_cooperative_research_exchange_ethics_outputs,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718050200_creator_cooperative_research_exchange_ethics_outputs.sql
20260718050300,creator_cooperative_policy_standards_benefits_collective,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718050300_creator_cooperative_policy_standards_benefits_collective.sql
20260718060000,creator_federation_entities_memberships_governance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718060000_creator_federation_entities_memberships_governance.sql
20260718060100,creator_federation_trust_credentials_mandates,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718060100_creator_federation_trust_credentials_mandates.sql
20260718060200,creator_federation_transfers_directory_conformance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718060200_creator_federation_transfers_directory_conformance.sql
20260718060300,creator_federation_decisions_disputes_incidents_outbox,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718060300_creator_federation_decisions_disputes_incidents_outbox.sql
20260718070000,creator_public_entities_participation_identifiers,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718070000_creator_public_entities_participation_identifiers.sql
20260718070001,harden_hiring_onboarding_templates_and_pii,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718070001_harden_hiring_onboarding_templates_and_pii.sql
20260718070100,creator_public_trust_credentials_rights_references,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718070100_creator_public_trust_credentials_rights_references.sql
20260718070200,creator_public_protocols_services_conformance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718070200_creator_public_protocols_services_conformance.sql
20260718070300,creator_public_governance_incidents_audit_outbox,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718070300_creator_public_governance_incidents_audit_outbox.sql
20260718080000,creator_commons_stewards_participation_assets,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718080000_creator_commons_stewards_participation_assets.sql
20260718080100,creator_commons_protocols_registries_conformance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718080100_creator_commons_protocols_registries_conformance.sql
20260718080200,creator_commons_operators_funding_transition,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718080200_creator_commons_operators_funding_transition.sql
20260718080300,creator_commons_governance_incidents_audit_outbox,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718080300_creator_commons_governance_incidents_audit_outbox.sql
20260718090000,creator_protocol_constitution_entities_compacts_ratifications,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718090000_creator_protocol_constitution_entities_compacts_ratifications.sql
20260718090100,creator_protocol_constitution_powers_amendments_decisions_appeals,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260718090100_creator_protocol_constitution_powers_amendments_decisions_appeals.sql
